#{"t_start": 1746150006.732833, "env_id": "CartPole-v1"}
r,l,t
13.698138,16,0.342785
21.697524,24,0.34402
49.864005,54,0.346692
18.046285,21,0.347743
16.928226,20,0.349422
15.989433,18,0.350343
14.798681,17,0.351185
16.293788,18,0.35207
53.837127,59,0.355397
21.009081,23,0.356557
24.719105,27,0.357915
19.709068,22,0.358996
37.311685,41,0.361521
20.738594,24,0.362725
8.958404,10,0.363231
16.360086,18,0.364121
16.112902,18,0.365478
10.933545,12,0.366114
21.217714,23,0.367248
7.883853,9,0.367712
11.765207,13,0.368854
24.532238,29,0.382733
49.064844,56,0.385478
17.780772,20,0.386476
20.02703,23,0.388124
19.632005,22,0.389221
10.955778,12,0.389827
21.643887,25,0.391047
22.205398,25,0.39275
18.777135,21,0.39379
12.438827,14,0.39449
12.463669,14,0.395188
27.19117,30,0.397145
17.551969,21,0.398182
7.747505,9,0.398633
25.739979,29,0.400046
15.099891,17,0.401528
25.630395,29,0.402949
12.361142,14,0.403644
21.539504,25,0.40486
28.066327,31,0.407001
23.659654,27,0.408334
8.800992,10,0.408837
17.483678,20,0.514743
54.230395,60,0.569067
9.842257,11,0.57826
24.927515,28,0.610233
7.768441,9,0.618206
8.829871,10,0.628541
13.254206,15,0.641303
13.399338,15,0.657911
10.991229,12,0.667603
50.717003,56,0.714649
18.91989,21,0.732145
15.576027,17,0.747024
12.052058,14,0.758471
18.412587,21,0.77629
9.04756,10,0.784287
13.730634,16,0.798832
10.344377,12,0.80867
12.520203,14,0.822229
19.333489,21,0.839399
14.516655,16,0.853145
16.378399,18,0.867545
35.999071,40,0.90215
15.327074,17,0.915861
9.236401,11,0.924847
10.562465,12,0.934443
10.558682,12,0.944844
21.66724,24,0.965693
42.780639,49,1.005524
8.655248,10,1.013602
18.482405,21,1.031261
13.248663,15,1.044876
17.18175,19,1.060418
10.579938,12,1.070277
25.137356,28,1.095615
7.855934,9,1.104153
27.637896,33,1.131123
9.521409,11,1.140226
20.804331,23,1.160869
13.421427,15,1.174637
11.364123,13,1.185432
9.767584,11,1.195993
12.587643,14,1.209672
9.855562,11,1.219005
13.227644,15,1.231349
17.105538,19,1.246687
9.324973,11,1.256155
13.013782,15,1.26856
9.363136,11,1.278579
37.922975,41,1.311876
10.536503,12,1.322228
13.167595,15,1.334432
7.774694,9,1.343438
22.396424,26,1.364693
12.506322,14,1.378288
13.145717,15,1.390428
12.539361,14,1.401903
13.014919,15,1.414221
10.510386,12,1.424848
23.219261,26,1.447608
17.81801,20,1.463895
10.55121,12,1.473576
18.561226,20,1.491151
16.050119,18,1.507311
12.773268,15,1.51945
11.627268,13,1.530014
10.67539,12,1.540554
13.895753,15,1.552947
14.378116,16,1.567669
20.933083,23,1.586623
18.532679,21,1.604489
15.40489,17,1.619893
10.373837,12,1.62995
22.993518,25,1.649767
15.353192,17,1.664992
8.476807,10,1.673218
11.397249,13,1.684916
22.659975,25,1.705146
20.958972,24,1.726604
12.018597,14,1.737975
22.211238,24,1.757416
9.513174,11,1.766743
21.098034,24,1.787328
14.751568,17,1.802988
23.217907,26,1.824142
13.330265,15,1.836652
6.987465,8,1.843921
15.324893,18,1.85901
21.861579,26,1.882223
34.802705,38,1.913915
12.182446,14,1.926269
17.083348,19,1.94283
52.228678,58,1.991305
14.122865,16,2.004745
25.909211,32,2.034854
17.261604,20,2.051037
46.41589,51,2.094709
18.383808,21,2.111907
34.111525,38,2.144576
26.37066,29,2.169235
24.261743,27,2.19332
25.0396,28,2.217551
10.764028,12,2.228371
22.149052,26,2.25218
16.125344,19,2.268542
23.785723,27,2.29302
12.762035,15,2.316579
22.292307,25,2.339758
34.400653,39,2.373633
44.142189,51,2.416752
10.266532,12,2.427563
19.193903,21,2.446189
13.365365,15,2.459012
27.45205,30,2.486094
33.7577,39,2.521502
76.316685,85,2.59588
25.721391,29,2.620175
37.745817,43,2.657971
17.548113,20,2.676181
11.082291,13,2.688783
39.050382,44,2.726076
9.743315,11,2.735199
16.143345,18,2.751041
39.350867,44,2.789426
19.078682,21,2.806962
25.065638,29,2.831005
31.7066,36,2.863546
31.217076,37,2.894945
40.123801,44,2.932264
21.594699,24,2.952398
64.921122,75,3.018551
24.731258,27,3.040895
32.171795,36,3.071325
46.61496,53,3.116382
25.209723,28,3.141184
16.438402,19,3.158977
23.537118,26,3.180701
51.495791,60,3.229728
39.289393,43,3.26867
79.070141,87,3.344963
30.29261,35,3.374341
55.577398,60,3.424626
73.743554,81,3.49525
70.804502,84,3.566388
62.881105,68,3.62905
41.601856,45,3.669142
39.421786,45,3.709066
29.619752,33,3.738123
61.859147,70,3.797374
62.604713,70,3.857839
68.922535,83,3.931068
146.215786,171,4.076405
59.643673,66,4.132302
67.455337,77,4.197012
52.40306,60,4.249903
181.116847,204,4.424468
59.004987,64,4.480113
76.032426,85,4.553775
69.51897,78,4.622889
55.719574,62,4.675502
96.339184,110,4.771131
56.499841,63,4.827574
68.040145,76,4.89563
174.536211,195,5.065071
95.797759,110,5.159925
11.156255,13,5.171122
136.707801,157,5.310094
97.636649,115,5.408718
251.906722,271,5.644707
149.222778,170,5.801832
343.852537,378,6.154567
169.190421,187,6.331561
174.037856,200,6.517268
129.551131,152,6.658276
269.07703,295,6.938119
247.95116,270,7.191685
146.262303,169,7.346739
86.958584,97,7.43195
115.590414,131,7.550058
153.503941,171,7.701335
127.916613,144,7.828739
115.408164,129,7.951078
155.52717,174,8.11328
152.876401,175,8.269877
124.655437,137,8.401762
125.9474,142,8.531174
131.225133,143,8.663226
187.805073,215,8.857415
172.544339,187,9.026394
149.420989,163,9.172285
75.51116,85,9.253592
142.769593,153,9.397567
91.907549,104,9.497029
86.529682,98,9.589562
175.174104,206,9.790076
106.169866,117,9.904665
120.575796,132,10.026892
109.723012,121,10.143001
94.168457,104,10.245838
142.533693,157,10.39548
132.983923,146,10.539115
107.678142,122,10.655874
104.066893,117,10.769808
191.476593,226,10.990909
225.033264,243,11.215582
90.229896,102,11.307615
87.901167,100,11.401647
138.561529,156,11.543457
121.727505,140,11.671585
178.957456,200,11.854417
135.293098,162,12.013985
128.852855,155,12.16041
137.0824,164,12.31098
136.552205,162,12.467315
169.274159,201,12.662207
136.61909,165,12.818616
162.968182,190,13.00445
141.296105,169,13.167505
148.136444,176,13.341927
186.137448,215,13.551644
162.934688,193,13.738555
137.399372,163,13.890052
212.25888,243,14.128532
166.780291,197,14.315848
158.958711,188,14.499602
266.831671,301,14.788072
148.452706,177,14.956096
169.650997,193,15.133929
138.665565,161,15.291874
168.719913,199,15.483716
148.488387,168,15.638798
143.063882,166,15.788632
189.062966,213,15.982485
130.966699,153,16.123619
163.424922,194,16.306127
157.01828,183,16.481802
161.388288,188,16.661876
161.937115,188,16.841744
208.409124,241,17.068087
146.529547,171,17.228571
126.884642,148,17.369606
161.665769,186,17.548738
135.116606,158,17.706291
146.060927,168,17.871284
142.901081,168,18.034014
168.24998,193,18.216647
189.173378,219,18.426861
163.337943,192,18.612487
195.511671,225,18.825767
159.193797,186,19.007282
178.403219,206,19.208611
168.892109,197,19.39224
157.117665,185,19.563747
162.066469,190,19.742865
185.932198,215,19.944271
167.404522,196,20.128262
149.190819,177,20.293753
183.820245,213,20.49346
145.33417,173,20.658865
148.276667,176,20.830756
185.455175,215,21.039341
196.567485,225,21.254459
183.015967,212,21.456828
162.560288,191,21.638464
156.539011,185,21.815743
154.680448,183,21.993676
171.564374,201,22.188231
178.827161,208,22.380926
145.280271,174,22.544271
156.817325,185,22.715511
144.805762,173,22.878333
154.755491,183,23.049271
166.733555,196,23.232769
155.515517,184,23.402145
164.982029,193,23.588964
142.135385,170,23.752077
181.061414,210,23.953272
162.704467,191,24.146808
151.2747,179,24.331025
153.191237,181,24.508855
141.071687,168,24.663389
163.252711,191,24.841293
159.471374,187,25.020591
161.831869,190,25.200605
154.125024,182,25.373667
148.582092,177,25.538562
189.738234,220,25.751412
173.685222,202,25.940834
176.514982,206,26.134334
193.695069,223,26.340075
179.25856,208,26.539073
162.371024,190,26.720454
146.889311,175,26.88402
188.567591,218,27.087491
155.33051,183,27.260755
218.376844,252,27.496977
198.977951,228,27.70888
177.825164,206,27.901702
165.939177,194,28.08529
172.576057,201,28.274377
236.042711,267,28.522226
173.472682,201,28.71015
174.721271,202,28.900682
163.304122,192,29.080619
166.158705,194,29.263442
171.368297,199,29.44574
176.635868,205,29.635762
181.945494,210,29.828453
196.810256,225,30.041816
184.928498,213,30.237149
160.008867,187,30.411153
224.247787,254,30.64947
161.917081,190,30.826572
184.459241,213,31.029979
178.31669,207,31.227084
170.679185,199,31.415701
179.500375,209,31.609944
178.707912,207,31.801695
182.073152,211,32.003088
250.813496,281,32.265599
194.968861,224,32.473399
200.100804,229,32.689656
193.206571,223,32.897752
179.115665,208,33.092377
205.963241,235,33.325258
211.359669,241,33.555263
201.202344,231,33.773367
203.843793,233,33.993476
236.812684,267,34.243665
167.848998,195,34.423956
242.616631,273,34.687096
176.244648,204,34.875985
211.086928,240,35.100342
164.986336,192,35.27786
196.986623,226,35.493207
185.261159,214,35.692274
188.027881,217,35.896826
196.02847,224,36.103976
171.712937,199,36.294828
173.875342,201,36.481323
156.986685,184,36.655441
184.551894,212,36.851281
177.926006,205,37.044582
167.695801,194,37.230989
195.725349,223,37.452147
206.474745,235,37.6733
160.706456,188,37.848344
198.22561,226,38.056584
178.207848,205,38.245306
200.397488,229,38.454234
173.801419,200,38.644794
162.763197,190,38.826988
172.168616,200,39.020031
157.037143,183,39.194804
193.676822,222,39.405259
212.132748,241,39.627103
204.791221,233,39.843224
195.798758,223,40.05294
167.565948,195,40.24083
183.633868,211,40.441665
201.070576,230,40.661053
186.511983,215,40.86436
190.124436,218,41.070199
205.367605,234,41.291289
165.885272,193,41.473079
185.703037,214,41.668966
153.057583,180,41.838563
174.280857,202,42.028919
182.015532,210,42.226942
171.418139,199,42.418627
214.743292,244,42.654782
208.661314,239,42.885252
195.275736,224,43.101417
160.807295,188,43.281142
209.857577,239,43.513448
332.623251,368,43.868617
213.143483,242,44.104915
368.207355,405,44.497625
219.685218,250,44.743962
466.266312,500,45.230491
219.173278,249,45.477172
394.401614,432,45.907617
227.614668,258,46.160464
277.838302,310,46.455915
202.754006,233,46.678018
321.038576,354,47.017591
475.824303,500,47.502246
479.393288,500,47.989818
220.676625,251,48.233006
477.57761,500,48.70834
405.134526,442,49.13832
193.567893,222,49.352981
479.39473,500,49.837377
464.865156,500,50.321574
324.74076,359,50.67089
468.499472,500,51.156018
469.342993,500,51.638888
470.336392,500,52.126303
471.819409,500,52.614293
474.010668,500,53.109291
464.067812,500,53.599002
455.857264,500,54.092149
265.109554,297,54.39293
464.161154,500,54.87984
459.278595,500,55.374585
460.851403,500,55.866066
452.856762,500,56.371373
445.465528,500,56.866511
441.933539,500,57.365989
275.90927,309,57.678381
458.707505,500,58.170199
459.621544,500,58.667195
466.956278,500,59.174938
456.993485,500,59.680617
458.387776,500,60.191995
221.630632,253,60.450434
466.076255,500,60.955945
292.446305,327,61.289268
463.455951,500,61.788974
468.244698,500,62.278713
214.908702,245,62.527704
241.361476,272,62.801404
460.585797,500,63.309677
459.465495,500,63.800142
384.542917,422,64.222965
454.14193,500,64.713305
314.419384,351,65.062267
310.698221,346,65.401383
293.081292,328,65.72424
461.551616,500,66.225147
456.688617,500,66.722894
397.355871,436,67.153006
461.842745,500,67.646933
459.772193,500,68.141631
421.475708,464,68.592981
455.655946,500,69.084359
459.894748,500,69.573626
459.73284,500,70.061406
459.499285,500,70.559159
465.206826,500,71.073355
467.705738,500,71.569265
459.820865,500,72.063779
462.891661,500,72.559117
468.246543,500,73.053967
458.927182,500,73.559628
462.387436,500,74.06855
460.148222,500,74.566769
447.010471,496,75.07302
471.778404,500,75.587585
460.92573,500,76.104959
473.697526,500,76.6003
463.51615,500,77.107037
469.515528,500,77.609592
435.450993,486,78.092301
461.313455,500,78.582157
402.660298,452,79.026188
460.977871,500,79.519915
460.472086,500,80.012253
468.066918,500,80.50359
463.534255,500,80.991205
464.517942,500,81.487075
461.019573,500,81.987462
458.017385,500,82.484291
461.634164,500,82.983754
468.253966,500,83.479427
459.255398,500,83.966158
456.62794,500,84.466658
455.89331,500,84.958611
460.304737,500,85.457875
458.532394,500,85.967725
459.965687,500,86.464101
461.759486,500,86.947817
461.381167,500,87.44046
460.36115,500,87.934446
458.491547,500,88.435802
457.18483,500,88.921526
468.0059,500,89.438007
458.514342,500,89.930222
462.741322,500,90.424674
461.68944,500,90.912887
458.739903,500,91.406506
458.800624,500,91.900725
466.360017,500,92.399595
466.645834,500,92.902024
465.767275,500,93.406159
472.383975,500,93.894708
463.906885,500,94.391572
469.607406,500,94.898811
461.583127,500,95.401607
472.874017,500,95.908262
469.68658,500,96.416598
471.280426,500,96.913136
470.722454,500,97.405554
470.006137,500,97.887608
463.203271,500,98.370475
456.341518,500,98.836458
460.647885,500,99.316303
459.310568,500,99.786406
464.324085,500,100.252266
466.275883,500,100.726795
463.72281,500,101.213222
464.176784,500,101.70001
465.053369,500,102.185743
465.058495,500,102.665161
460.264783,500,103.147137
460.741902,500,103.631468
464.800924,500,104.113394
459.779995,500,104.598453
460.987592,500,105.082578
468.007726,500,105.565027
458.983427,500,106.038359
457.217788,500,106.507806
458.591774,500,106.971025
463.433242,500,107.44486
464.73501,500,107.916754
462.164711,500,108.373209
456.359554,500,108.824145
463.59948,500,109.29212
456.3373,500,109.762381
455.039844,500,110.231575
447.742411,500,110.696435
442.286367,500,111.177291
449.751841,500,111.667304
453.409481,500,112.148693
454.820662,500,112.634233
458.474082,500,113.107381
466.504457,500,113.58054
459.998066,500,114.045329
458.125588,500,114.510203
454.651435,500,114.980719
